FID,passage,"choice 1 def 0 st 2 counselor",response
train/717.txt,"My relationship feels off and I feel insecure  My girlfriend's grandma passed away 5 months ago. They were very close. She took care of her till she died. Things kinda returned to normal few weeks later. Last month it feels like we hit a brick wall. Intimacy fell off. I asked what's up. She says she can't connect with anyone and that it's not me. She used to be very open and expressive. Now she gives short answers and has no interest in sex or any touching. When we did have sex in the last month, something felt really off. Now I'm very insecure about us and have thoughts of her cheating. She says otherwise, but I don't know. It just feels like something is really off.",1,"I'm sorry to hear that you're going through a difficult time in your relationship. It sounds like your girlfriend is going through a tough time after the loss of her grandmother, and it's understandable that she may be feeling disconnected and struggling to connect with others. It's important to remember that her behavior is likely a result of her grieving process and not a reflection of her feelings towards you.

It's completely normal to feel insecure and have doubts during times of uncertainty in a relationship, but it's important to communicate openly and honestly with your girlfriend about your feelings. It's also important to give her the space and support she needs to work through her grief in her own time.

I would recommend seeking couples counseling or individual therapy to help navigate through this challenging time in your relationship. A therapist can provide guidance and support as you both work through your emotions and find ways to reconnect with each other. Remember to be patient and understanding with each other as you navigate through this difficult time together."
train/718.txt,My ex-boyfriend and I broke up about 3 months ago and now he wants me back  I'm currently dating someone else and I really like him. But I love and miss my ex so much. What do I do?,2,"Finding the right person is a tricky thing to do. Why did you and your ex break up 3 months ago? In relationships with others you get to see a reflection of yourself. Sometimes you may enjoy that reflection, other times it may not feel so good. I'm not sure where you are in your life and relationships and what you do from here depends on what you desire more of in your life. But I'm not simply talking in the moment desire, I'm referring to the direction you want your life to go. If one of these guys was to support you...who would help you reach your dreams? And who would you enjoy spending time with? It's complicated and no one can answer the 'what to do' question but you. Slow down. Tune into your heart. Listen."
train/382.txt,Should we put off kids until my husband is mentally cured?  My boyfriend is seeking therapy. He is in his 40s and has some childhood issues. He has kids from his previous ex-wife and is unable to see them.,0,"Response: 

It's understandable to have concerns about starting a family when your partner is working through mental health issues. It's important to prioritize your husband's well-being and ensure he has the support he needs to heal from his childhood trauma. It's great that he is seeking therapy to address these issues.

In the meantime, it may be helpful for both of you to brainstorm solutions and strategies to prevent any negative experiences from happening again in the future. Remember that past experiences, whether within or outside of our control, do not dictate our future. It's important to stay optimistic and focus on creating a positive and healthy environment for yourselves and any potential future children.

Creating a list of behaviors that lead to more independence can also be beneficial for both of you as individuals and as a couple. This can help build resilience and empower you to navigate challenges together. Ultimately, the decision to have children should be made when both partners feel emotionally and mentally ready. It may be helpful to continue supporting your husband in his therapy journey and reassess the situation as he progresses in his healing process."
train/91.txt,"How can I get over my depression and grief? My dad passed away when I was a teenager. I never got any help, and five years later, I feel like I can't handle it anymore.",2,It's never to late to get help with grief.  Get help as soon as possible before you are feeling the same way 5 years from now.  You will always miss your Dad but getting help with coping with his loss will make life easier to live.
train/286.txt,Why do I have low self-esteem and lack confidence?   I always need alcohol to feel better and use that as a excuse.,0,"I hear that you are struggling with low self-esteem and lack of confidence, and that you are using alcohol as a coping mechanism. It's important to recognize that these feelings may stem from learned behaviors from childhood or past experiences. It's also important to challenge any thoughts you may have about being defective, as these beliefs can contribute to low self-esteem.

It's great that you are seeking help and acknowledging that you are using alcohol as a crutch. I encourage you to take steps to decrease any overcompensating behaviors, such as using alcohol to feel better, and instead focus on building healthier coping mechanisms and self-esteem. Remember that self-esteem and confidence can be improved with time and effort, and seeking support from a mental health counselor can be a great step towards healing and growth. You are not alone in this journey, and there is help available to support you."
train/208.txt,"I have come to the realization that my boyfriend and I want different things  I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month. I want someone who is more present and more of a life companion. Lately, he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks. I told him that I can't continue in this way because I constantly feel frustrated and angry and that he is not making the relationship enough of a priority. I also feel it is keeping me from possibly finding the relationship I want. We have been together 7 years. The problem is that I panic and experience anxiety and depression thinking of him with someone else and then thinking I will never meet someone I like. We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it, but my aversion to the anxiety and depression I experience upon separation always leads me to reconcile.",2,"It sounds like you have some insight into the cycle that you describe with your current relationship and at the same time you are still feeling stuck. It also sounds like the distressing feelings that you experience, when you imagine what will happen for you and your current partner, are pretty overwhelming. A competent therapist may be able to help you work through these difficult thoughts and feelings and find a resolution to this cycle that will feel right to you."
train/151.txt,"When I'm around children I get this intense feeling of paranoia and fear  I'm a male in my early 20s. Lately, my paranoia about being around kids is causing me too breathe heavy and sweat a lot. I then start to act weird because I'm trying to fight my paranoia. This leads to people starring at me because they don't know that I'm suffering from panic attacks and paranoia. They just notice me acting scared around kids and they think I'm a threat because of it.    I'm not a pervert or predator. I would never hurt a kid. I like kids and don't know why I'm so scared to be around them.    I don't understand why I feel like this. Am I a bad person? How do I make this stop?",0,"I'm so sorry to hear that you're struggling with these intense feelings of paranoia and fear around children. It's important to remember that having these feelings does not make you a bad person. It sounds like you may be experiencing some form of anxiety or panic attacks in these situations.

I would encourage you to take a moment to challenge any thoughts you may have about being defective or a threat to children. It's also important to choose partners who truly love and accept you for who you are, and to open up to the people you trust about what you're going through.

I recommend seeking support from a mental health professional who can help you explore these feelings and develop coping strategies to manage them. You deserve to feel safe and comfortable in all situations, and it's okay to seek help in order to achieve that. Remember, you are not alone in this and there is support available to you."
train/153.txt,"Why do I feel anxious and uncomfortable at parties or big social situations? Example would be homecoming? I was at my high school's home football game on Friday, and I left because I felt uncomfortable with all the people there and I just wanted to be by myself. Why is that?",0,"As a mental health counselor, I want to first acknowledge that feeling anxious and uncomfortable in social situations, such as parties or big events like homecoming, is a common experience for many people. It's important to remember that you are not alone in feeling this way.

I encourage you to take a moment to reflect on how alike you are to others who may also be experiencing similar feelings in social settings. It's natural to feel a sense of unease when surrounded by a large group of people, especially if you are more introverted or sensitive to crowds.

It's also important to be aware of any negative thoughts or beliefs you may have about yourself that could be contributing to your discomfort in social situations. These thoughts can hold you back from fully connecting with others and enjoying yourself in these settings.

I suggest identifying specific group situations that you tend to avoid and ranking them based on the level of difficulty you perceive. This can help you gradually expose yourself to these situations and work on building your comfort and confidence in social settings.

Remember, it's okay to take breaks and prioritize your own well-being in social situations. It's important to listen to your own needs and boundaries. If you find yourself feeling overwhelmed or anxious, it's okay to step away and take some time for yourself.

If these feelings persist and impact your daily life, I encourage you to consider seeking support from a mental health professional who can help you explore these feelings further and develop coping strategies to manage social anxiety. You deserve to feel comfortable and"
train/286.txt,Why do I have low self-esteem and lack confidence?   I always need alcohol to feel better and use that as a excuse.,2,Check out my latest blog on:  Four-ways-add-self-esteem-friends-listI hope this offers you some nuggets of helpfulness!
train/114.txt,"My ex-boyfriend is with someone new, and it hurts  I just got out of a two year relationship. I broke up with my boyfriend because he wasn't showing any affection at all. He was talking to other women and lying about it. It pushed me away and hurt me, but I'm still in love with him. A couple days after our breakup, he was talking to someone new. He told me he wasn't sure if he loved me. I cried for several days, lost my appetite, and couldn't sleep. Our whole relationship was only us. We didn't have friends. It was me and him against the world. We didn't talk to anyone else because we only wanted to talk to each other. We hung out constantly and Skyped to sleep every single night. Then, when I cut myself, we talked on Skype. He cried and told me ""I'm still in love with you, I never stopped loving you,"" and I cried tears of joy. I asked multiple times if he loved me and asked to make sure he wasn't just saying that because of me being so depressed. He promised and assured me he loved me. He came over after that, and we had sex because he wanted to. He went the home that night and told me he didn't love me, and he lied because he was scared. He told me I wasn't attractive, I wasn’t beautiful to him, and that I changed. He also told me he was 100% sure he'd never love me again. I'm still in love with him. Why do I love him? How do I stop? Just knowing that someone else is with him hurts me. That I wasn't good enough and that I'm no longer beautiful hurts me. I think I need a therapist, but don't know if I should.",1,"I am so sorry to hear about the pain you are going through. It sounds like you have been through a lot of emotional turmoil in your relationship with your ex-boyfriend. It is completely normal to still have feelings for someone even after they have hurt you, especially when you have invested so much time and emotion into the relationship.

It is important to remember that your worth and beauty are not defined by someone else's opinion of you. You are valuable and deserving of love just as you are. It is also important to recognize that your ex-boyfriend's actions and words are a reflection of his own issues and insecurities, not a true reflection of who you are as a person.

Seeking therapy can be a helpful way to process your emotions, gain insight into your relationship patterns, and work towards healing and moving forward. A therapist can provide a safe and nonjudgmental space for you to explore your feelings and develop coping strategies to help you navigate this difficult time.

Remember to be gentle with yourself and give yourself time to heal. Surround yourself with supportive friends and family who can offer love and encouragement. You deserve to be with someone who treats you with respect and kindness. You are not alone in this journey, and there is hope for a brighter future ahead."
