"FID","passage","choice 1def 0st 2counselor","response"
"train/120.txt","I don't believe in myself anymore  I was married to a narcissist sociopath for 10 years. During that time I was a general manager. I used to help him financially and in other ways when we were together. But things began to change. He emotionally and sexually drained me. I lost my spirit. I used to be a very happy person but now I am a loner. I left him and moved to another state. Currently, I'm working as a server which makes me believe less in myself. I feel pity for myself a lot but don't know what to do. When I have money problems, he does not help me. He actually enjoys seeing me have a hard time in my life. I need help.","0","I am so sorry to hear about the difficult experiences you have been through with your ex-husband. It sounds like you have been through a lot of emotional and financial strain, and it's completely understandable that you are feeling lost and unsure of yourself right now. 

It's important to remember that your worth and value are not defined by your past experiences or your current job as a server. It's great that you were able to recognize the toxic relationship you were in and make the brave decision to leave. 

As you work on rebuilding your self-esteem and sense of self-worth, it may be helpful to challenge the emotional deprivation schema by seeking out supportive and caring environments where you can have your emotional needs met. Surround yourself with good quality partners and friends who uplift and support you. 

Remember to be gentle with yourself and avoid responding to feelings of deprivation with anger or self-questioning. It's okay to feel pity for yourself, but try to focus on self-compassion and self-care instead. Consider seeking out a therapist or counselor who can help you work through your past experiences and support you in building a healthier relationship with yourself. You deserve to feel happy and fulfilled, and there is hope for a brighter future ahead."
"train/123.txt","I hate talking to people much less strangers  My doctor thinks that seeing a psychiatrist will help with my depression and anxiety. Now my anxiety is worse, what do I do? Writing on here has taken every bit of strength I have left.","0","I'm sorry to hear that you're struggling with anxiety and depression. It's understandable that talking to strangers or even friends can be difficult when you're feeling this way. It's important to remember that seeking help from a mental health professional, like a psychiatrist, is a brave step towards healing.

In therapy, you can work on building trust with your therapist and exploring ways to address and cope with your anxiety and depression. It's also important to learn healthy ways to express and manage your emotions, such as proper assertion skills for venting anger or other strong feelings.

Additionally, surrounding yourself with supportive and non-abusive friends and partners can also make a positive impact on your mental health. Remember that you deserve to have relationships that are healthy and respectful.

I encourage you to continue reaching out for support, whether it's through therapy, support groups, or online forums like this one. You are not alone in your struggles, and there are people who care about your well-being. Take care of yourself and remember to be gentle with yourself during this challenging time."
"train/286.txt","Why do I have low self-esteem and lack confidence?   I always need alcohol to feel better and use that as a excuse.","0","I'm sorry to hear that you are struggling with low self-esteem and lack of confidence. It's important to remember that these feelings are not a reflection of your worth as a person. It may be helpful to challenge the idea that you are defective by examining the evidence for and against personal defectiveness. Additionally, it's important to recognize that any flaws or behaviors you may have learned in childhood can be changed with effort and support. 

Using alcohol as a coping mechanism is common, but it's important to address the underlying issues that may be contributing to your low self-esteem and lack of confidence. Choosing relationships that are supportive rather than critical can also be helpful in building your self-esteem and confidence. Remember, you are not alone in this journey and seeking help from a mental health counselor or therapist can provide you with the support and tools you need to work through these challenges."
"train/289.txt","Why am I so nervous talking to people? Whether it's to a guy or girl, I always feel insecure talking, and I am afraid of embarrassing myself and not being good enough. Even when I am walking, I worry about my appearance and facial expression and such.","2","Hi. I'm glad you wrote, because I think a lot of people have this same issue (to different degrees) and we don't talk about it much. You have some social anxiety that is a bit beyond what the average person might feel. Most people have some amount of worry about what others might think of them, and this probably prevents us from making complete fools of ourselves so that's a good thing. But your ""alarm system"" is out of whack and you are spending too much time worrying about how you come across. As you age you understand this more, and it's true...that other people really aren't thinking about you much or monitoring you at all; they're too busy having the same thoughts you're having! Am I good enough? Do people like me, judge me...think I'm weird? We're all concerned about how we come across far more than how others come across. Like many people, you lack compassion for yourself, acceptance of yourself and confidence in yourself. My gut says that these things came from somewhere in your past. Our sensitivities usually come from (as well as genetics) a specific time in our life when we experienced or felt something that was overwhelming and we end up with an alarm system that overreacts at times. Without more details, it's difficult to go further here. I recommend you see a therapist who does cognitive behavioural therapy, which can help you understand the roots of your fears and learn how to manage them more successfully."
"train/120.txt","I don't believe in myself anymore  I was married to a narcissist sociopath for 10 years. During that time I was a general manager. I used to help him financially and in other ways when we were together. But things began to change. He emotionally and sexually drained me. I lost my spirit. I used to be a very happy person but now I am a loner. I left him and moved to another state. Currently, I'm working as a server which makes me believe less in myself. I feel pity for myself a lot but don't know what to do. When I have money problems, he does not help me. He actually enjoys seeing me have a hard time in my life. I need help.","1","I am so sorry to hear about the pain and struggles you have been through in your past relationship. It is clear that you have been through a lot and it is completely understandable that you are feeling lost and struggling to believe in yourself.

Leaving a toxic relationship takes a lot of courage and strength, and it sounds like you have already taken a big step in the right direction by moving to another state. It is important to remember that healing from a toxic relationship takes time, and it is okay to feel lost and unsure of yourself during this process.

It is also completely normal to feel pity for yourself and to struggle with self-esteem after going through such a difficult experience. However, it is important to remember that you are not alone and that there is help available to you. Seeking support from a therapist or counselor can be a valuable tool in helping you heal and rebuild your self-esteem.

Remember, you are not defined by your past experiences or by the actions of your ex-partner. You are a strong and resilient person who deserves to be happy and to believe in yourself. Take small steps towards self-care and self-compassion, and know that you are worthy of love and support. You deserve to live a fulfilling and happy life, and I believe that with time and support, you can find your way back to believing in yourself again."
"train/408.txt","How can I just be happy and not mad all the time?  Everything just makes me upset.","0","I hear that you're struggling with feeling upset and angry a lot of the time. It sounds like you may benefit from challenging your negative thinking patterns and focusing on the positives in your life. One way to do this is to actively seek out warm, empathic, and protective environments where you can get your emotional needs met. It may also be helpful to notice and list how often you have negative or pessimistic thoughts, and work on shifting your focus towards more positive thoughts. Making these changes can have a significant impact on how you feel overall. Remember, it's okay to seek support from a mental health counselor or therapist if you feel overwhelmed by these emotions. You deserve to feel happy and at peace."
"train/373.txt","How do I move on from almost being raped?  At a friend's house, we had some drinks and watched some television. He got up and went to bed. I felt sick. He came out to see if I was okay, and I said no. I said I wanted to go home, and he told me to come lay down. As I laid down on the bed, he started touching me. A friend called me, then I able to leave.","0","I am so sorry to hear about what you experienced. It is completely understandable that you are feeling overwhelmed and unsure of how to move forward. It's important to prioritize your mental health and well-being during this difficult time. 

Using imagery to foresee successful completion of self-control and organization can help you regain a sense of control over your thoughts and emotions. Visualizing yourself feeling safe and empowered can be a powerful tool in overcoming the trauma you have experienced. 

In addition, learning relaxation, meditation, or other anxiety-reducing techniques can help you cope with the stress and anxiety that may come with processing this traumatic event. Taking care of yourself and finding ways to calm your mind and body can be essential in your healing journey. 

Creating a list of behaviors that gradually lead to more independence can also be helpful in rebuilding your sense of autonomy and agency. Setting small, achievable goals for yourself can help you regain a sense of empowerment and control over your life. 

It may also be beneficial to seek support from a mental health professional who can provide you with additional tools and resources to help you navigate this challenging time. Remember, you are not alone and there are people who care about you and want to help you through this. Take care of yourself and reach out for support when you need it."
"train/296.txt","Am I going to be alone forever?  I feel like I'm trying to convince myself that I'm okay when I'm not. I'm always blocking out the bad things and forgetting. I also feel like nobody cares for me and they never will. I feel truly alone.","2","I can relate! When things are going badly, I feel like my life has always been and will always be that way. (But I also do this when things are going well. That is, I forget how good things can turn bad. Personally, to avoid this emotional roller-coaster, I try and heed the famous advice by author and feminist Rita Mae Brown: ""One of the keys to happiness is a bad memory.""So maybe this weakness of your for forgetting is really a strength! It sounds a lot like living in the moment to me. And while it’s hard to manage my past and my future, the moment seems like a small enough piece of temporal real estate to sort out. So that’s the “what” of my answer. The “how” goes like this: Choose one from column A, two from column B, and three from column C in the following chart. Then try doing them for as long as you can. Then see what happens.A                                            B                                                  CGratitude                                Forgiveness                                 AppreciationExpectations                           Meditation                                    ExerciseBitterness                               Distraction                                    Volunteering Resentment                            Substances                                  WorryRegret                                    Possessions                                 PessimismShame                                    Desire                                          SuperstitionRage                                      Isolation                                        WishingSelf-loathing                           Criticism                                       Withholding If you feel as though what you think and believe are out of your control, or that your values were imposed on you, or that nothing good will ever happen again, then we will have to respectfully disagree. You’ve ask a very deep and insightful question, proving that your hope has gotten you this far. Hang onto that hope because I’m an example of things working out despite my previous way of looking at my life.Instead of “convincing” yourself that you’re okay when you’re not, how about calling it “accepting yourself as okay just the way you are, without judging your okayness.” You probably have high standards (perfectionism?) and that’s a thing to talk with a counselor about. The opposite of perfect is not horrible. It’s called “good enough.”Blocking out the bad things and forgetting is as natural as eating and sleeping. All the other mammals do it (except when it comes to life-threatening bad things) so why shouldn’t we? This might be called optimism. Feeling alone and uncared for is a worse feeling than being despised. This is good! This means (I suppose) that you don’t despise yourself as much as you just don’t care for you (because we can often project our own self-beliefs onto others). This is an abstract concept that will take some time to get used to. But I have a suspicion that, with just a little more self-care, and a little more caring for others, you might be better off very soon."
"train/365.txt","Could a car accident add more problems to my posttraumatic stress disorder? I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?","0","I'm sorry to hear about your struggles with posttraumatic stress disorder from your military experiences. It's understandable that you may be concerned about how the car accident could potentially impact your PTSD symptoms. It's important to recognize and list the long-term consequences of living in fear of potential triggers, such as the lost opportunities for enjoyment and self-exploration. 

However, it's also important to remember times when you have successfully increased your capacity to cope with difficult situations. Using imagery to visualize future success in handling acceptable levels of risk can be a helpful tool in managing your PTSD symptoms.

It's possible that the car accident could add more challenges to your PTSD, as it may have triggered memories or feelings associated with your military experiences. It's important to seek support from a mental health professional to help you process and cope with any additional stress or symptoms that may arise from the accident. Remember, you are not alone in this journey and there are resources available to help you navigate through these challenges."
"train/365.txt","Could a car accident add more problems to my posttraumatic stress disorder? I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?","2","You are right on to recognize that the effects of trauma can be cumulative.  It is very possible that a car accident could lead to an increase in PTSD symptoms that were related to other traumatic experiences.If you have been deployed to a combat area, you are most likely eligible for free counseling services through the VA Vet Centers.  The Vet Center clinicians typically have a lot of experience working with military trauma. Here's a link to a directory of Vet Centers:http://www.va.gov/directory/guide/vetcenter.aspYour service and sacrifice is greatly appreciated."
